date	value	key
6/03	5475	RecoveredCase
6/04	772	DeadCase
6/04	1884	CurrentCase
6/04	5746	RecoveredCase
6/05	775	DeadCase
6/05	1798	CurrentCase
6/05	5830	RecoveredCase
6/06	779	DeadCase
6/06	1688	CurrentCase
6/06	5937	RecoveredCase
6/07	779	DeadCase
6/07	1688	CurrentCase
6/07	5937	RecoveredCase
6/08	779	DeadCase
6/08	1688	CurrentCase
6/08	5937	RecoveredCase
6/09	784	DeadCase
6/09	1357	CurrentCase
6/09	6280	RecoveredCase
6/10	789	DeadCase
6/10	1184	CurrentCase
6/10	6457	RecoveredCase
6/11	789	DeadCase
6/11	1065	CurrentCase
6/11	6581	RecoveredCase
6/12	790	DeadCase
6/12	985	CurrentCase
6/12	6670	RecoveredCase
6/13	792	DeadCase
6/13	869	CurrentCase
6/13	6793	RecoveredCase
6/14	792	DeadCase
6/14	869	CurrentCase
6/14	6793	RecoveredCase
6/15	792	DeadCase
6/15	869	CurrentCase
6/15	6793	RecoveredCase
6/16	799	DeadCase
6/16	672	CurrentCase
6/16	6989	RecoveredCase
6/17	799	DeadCase
6/17	574	CurrentCase
6/17	7091	RecoveredCase
6/18	801	DeadCase
6/18	516	CurrentCase
6/18	7148	RecoveredCase
6/19	804	DeadCase
6/19	480	CurrentCase
6/19	7178	RecoveredCase
6/20	804	DeadCase
6/20	439	CurrentCase
6/20	7218	RecoveredCase
6/21	804	DeadCase
6/21	439	CurrentCase
6/21	7218	RecoveredCase
6/22	804	DeadCase
6/22	439	CurrentCase
6/22	7218	RecoveredCase
6/23	805	DeadCase
6/23	330	CurrentCase
6/23	7324	RecoveredCase
6/24	807	DeadCase
6/24	303	CurrentCase
6/24	7348	RecoveredCase
6/25	808	DeadCase
6/25	287	CurrentCase
6/25	7365	RecoveredCase
6/26	809	DeadCase
6/26	276	CurrentCase
6/26	7371	RecoveredCase
6/27	810	DeadCase
6/27	239	CurrentCase
6/27	7401	RecoveredCase
6/28	810	DeadCase
6/28	239	CurrentCase
6/28	7401	RecoveredCase
6/29	810	DeadCase
6/29	239	CurrentCase
6/29	7401	RecoveredCase
6/30	811	DeadCase
6/30	219	CurrentCase
6/30	7417	RecoveredCase
7/01	812	DeadCase
7/01	211	CurrentCase
7/01	7422	RecoveredCase
7/02	812	DeadCase
7/02	206	CurrentCase
7/02	7424	RecoveredCase
7/03	812	DeadCase
7/03	200	CurrentCase
7/03	7427	RecoveredCase
7/04	812	DeadCase
7/04	196	CurrentCase
7/04	7431	RecoveredCase
7/05	812	DeadCase
7/05	196	CurrentCase
7/05	7431	RecoveredCase
7/06	812	DeadCase
7/06	196	CurrentCase
7/06	7431	RecoveredCase
7/07	812	DeadCase
7/07	196	CurrentCase
7/07	7431	RecoveredCase
7/08	812	DeadCase
7/08	191	CurrentCase
7/08	7433	RecoveredCase
7/09	812	DeadCase
7/09	181	CurrentCase
7/09	7443	RecoveredCase
7/10	812	DeadCase
7/10	176	CurrentCase
7/10	7449	RecoveredCase
7/11	813	DeadCase
7/11	172	CurrentCase
7/11	7452	RecoveredCase
