date,country,CumulativeCase,DeadCase,RecoveredCase,CurrentCase
3/22,Colombia,0,0,0,0
3/22,Finland,0,0,0,0
3/22,France,0,0,0,0
3/22,Germany,2,0,0,2
3/22,India,0,0,0,0
3/22,Indonesia,0,0,0,0
3/22,Italy,2,0,0,2
3/22,Japan,0,0,0,0
3/22,Kuwait,0,0,0,0
3/22,Malaysia,0,0,0,0
3/22,Mongolia,0,0,0,0
3/22,New Zealand,0,0,0,0
3/22,Philippines,0,0,0,0
3/22,Poland,0,0,0,0
3/22,Republic of Ireland,1,0,0,1
3/22,Republic of Korea,0,0,0,0
3/22,Romania,0,0,0,0
3/22,Russian Federation,0,0,0,0
3/22,Singapore,4,0,0,4
3/22,Slovenia,0,0,0,0
3/22,South Africa,0,0,0,0
3/22,Spain,1,0,0,1
3/22,Sweden,0,0,0,0
3/22,Switzerland,7,0,0,7
3/22,Thailand,4,0,0,4
3/23,United Kingdom,2,0,0,2
3/23,Viet Nam,63,2,0,61
3/23,Belgium,0,0,0,0
3/23,Australia,0,0,0,0
3/23,Brazil,0,0,0,0
3/23,Bulgaria,0,0,0,0
3/23,Canada,9,2,0,7
3/23,China,222,7,0,215
3/23,Colombia,0,0,0,0
3/23,Finland,0,0,0,0
3/23,France,0,0,0,0
3/23,Germany,2,0,0,2
3/23,India,0,0,0,0
3/23,Indonesia,0,0,0,0
3/23,Italy,2,0,0,2
3/23,Japan,0,0,0,0
3/23,Kuwait,0,0,0,0
3/23,Malaysia,0,0,0,0
3/23,Mongolia,0,0,0,0
3/23,New Zealand,0,0,0,0
3/23,Philippines,0,0,0,0
3/23,Poland,0,0,0,0
3/23,Republic of Ireland,1,0,0,1
3/23,Republic of Korea,0,0,0,0
3/23,Romania,0,0,0,0
3/23,Russian Federation,0,0,0,0
3/23,Singapore,4,0,0,4
3/23,Slovenia,0,0,0,0
3/23,South Africa,0,0,0,0
3/23,Spain,1,0,0,1
3/23,Sweden,0,0,0,0
3/23,Switzerland,7,0,0,7
3/23,Taiwan,6,0,0,6
3/23,Thailand,4,0,0,4
3/23,United States,22,0,0,22
3/24,Republic of Ireland,1,0,0,1
3/24,Australia,0,0,0,0
3/24,Belgium,0,0,0,0
3/24,Brazil,0,0,0,0
3/24,Bulgaria,0,0,0,0
3/24,Canada,11,3,0,8
3/24,China,260,10,0,250
3/24,Colombia,0,0,0,0
3/24,Finland,0,0,0,0
3/24,France,1,0,0,1
3/24,Germany,4,0,0,4
3/24,India,0,0,0,0
3/24,Indonesia,0,0,0,0
3/24,Italy,2,0,0,2
3/24,Japan,0,0,0,0
3/24,Kuwait,0,0,0,0
3/24,Malaysia,0,0,0,0
3/24,Mongolia,0,0,0,0
3/24,New Zealand,0,0,0,0
3/24,Philippines,0,0,0,0
3/24,Poland,0,0,0,0
3/24,Republic of Korea,0,0,0,0
3/24,Romania,0,0,0,0
3/24,Russian Federation,0,0,0,0
3/24,Singapore,65,0,0,65
3/24,Slovenia,0,0,0,0
3/24,South Africa,0,0,0,0
3/24,Spain,1,0,0,1
3/24,Sweden,0,0,0,0
3/24,Switzerland,2,0,0,2
3/24,Taiwan,6,0,0,6
3/24,Thailand,5,0,0,5
3/24,United Kingdom,3,0,0,3
3/24,United States,37,0,0,37
3/24,Viet Nam,58,4,0,54
3/25,Australia,0,0,0,0
3/25,Viet Nam,58,4,0,54
3/25,United Kingdom,3,0,0,3
3/25,Thailand,5,0,0,5
3/25,Taiwan,6,0,0,6
3/25,Switzerland,2,0,0,2
3/25,Sweden,0,0,0,0
3/25,Spain,0,0,0,0
3/25,South Africa,0,0,0,0
3/25,Slovenia,0,0,0,0
3/25,Singapore,69,0,0,69
3/25,Russian Federation,0,0,0,0
3/25,Romania,0,0,0,0
3/25,Republic of Korea,0,0,0,0
3/25,Republic of Ireland,1,0,0,1
3/25,Poland,0,0,0,0
3/25,Philippines,0,0,0,0
3/25,New Zealand,0,0,0,0
3/25,Mongolia,0,0,0,0
3/25,Malaysia,0,0,0,0
3/25,Kuwait,0,0,0,0
3/25,Japan,0,0,0,0
3/25,Italy,2,0,0,2
3/25,Indonesia,0,0,0,0
3/25,India,0,0,0,0
3/25,Germany,4,0,0,4
3/25,France,1,0,0,1
3/25,Finland,0,0,0,0
3/25,Colombia,0,0,0,0
3/25,China,286,10,0,276
3/25,Canada,11,3,0,8
3/25,Bulgaria,0,0,0,0
3/25,Brazil,0,0,0,0
3/25,Belgium,0,0,0,0
3/25,United States,39,0,0,39
3/26,Switzerland,2,0,0,2
3/26,Australia,0,0,0,0
3/26,Belgium,0,0,0,0
3/26,Brazil,0,0,0,0
3/26,Bulgaria,0,0,0,0
3/26,Canada,19,3,0,16
3/26,China,1108,41,0,1067
3/26,Colombia,0,0,0,0
3/26,Finland,0,0,0,0
3/26,France,1,0,0,1
3/26,Germany,4,0,0,4
3/26,India,0,0,0,0
3/26,Indonesia,0,0,0,0
3/26,Italy,3,0,0,3
3/26,Japan,0,0,0,0
3/26,Kuwait,0,0,0,0
3/26,Malaysia,0,0,0,0
3/26,Mongolia,0,0,0,0
3/26,New Zealand,0,0,0,0
3/26,Philippines,0,0,0,0
3/26,Poland,0,0,0,0
3/26,Republic of Ireland,2,0,0,2
3/26,Republic of Korea,0,0,0,0
3/26,Romania,0,0,0,0
3/26,Russian Federation,0,0,0,0
3/26,Singapore,74,1,0,73
3/26,Slovenia,0,0,0,0
3/26,South Africa,0,0,0,0
3/26,Spain,0,0,0,0
3/26,Sweden,0,0,0,0
3/26,Taiwan,6,0,0,6
3/26,Thailand,3,0,0,3
3/26,United Kingdom,3,0,0,3
3/26,United States,40,0,0,40
3/26,Viet Nam,58,4,0,54
3/27,United Kingdom,3,0,0,3
3/27,Australia,0,0,0,0
3/27,Belgium,0,0,0,0
3/27,Brazil,0,0,0,0
3/27,Bulgaria,0,0,0,0
3/27,Canada,28,3,0,25
3/27,China,1173,44,0,1129
3/27,Colombia,0,0,0,0
3/27,Finland,0,0,0,0
3/27,France,1,0,0,1
3/27,Germany,4,0,0,4
3/27,India,0,0,0,0
3/27,Indonesia,0,0,0,0
3/27,Italy,2,0,0,2
3/27,Japan,0,0,0,0
3/27,Kuwait,0,0,0,0
3/27,Malaysia,0,0,0,0
3/27,Mongolia,0,0,0,0
3/27,New Zealand,0,0,0,0
3/27,Philippines,0,0,0,0
3/27,Poland,0,0,0,0
3/27,Republic of Ireland,2,0,0,2
3/27,Republic of Korea,0,0,0,0
3/27,Romania,3,0,0,3
3/27,Russian Federation,0,0,0,0
3/27,Singapore,78,2,0,76
3/27,Slovenia,0,0,0,0
3/27,South Africa,0,0,0,0
3/27,Spain,0,0,0,0
3/27,Sweden,0,0,0,0
3/27,Viet Nam,58,4,0,54
3/27,Switzerland,2,0,0,2
3/27,Taiwan,6,0,0,6
3/27,Thailand,3,0,0,3
3/27,United States,45,0,0,45
3/28,New Zealand,0,0,0,0
3/28,Viet Nam,58,4,0,54
3/28,United States,51,0,0,51
3/28,United Kingdom,3,0,0,3
3/28,Thailand,3,0,0,3
3/28,Taiwan,10,0,0,10
3/28,Switzerland,2,0,0,2
3/28,Sweden,0,0,0,0
3/28,Spain,0,0,0,0
3/28,South Africa,0,0,0,0
3/28,Slovenia,0,0,0,0
3/28,Singapore,86,2,0,84
3/28,Russian Federation,0,0,0,0
