date	country	value	key
3/18	Russian Federation	0	DeadCase
3/18	Russian Federation	0	CurrentCase
3/18	Russian Federation	0	RecoveredCase
3/18	Singapore	0	DeadCase
3/18	Singapore	23	CurrentCase
3/18	Singapore	0	RecoveredCase
3/18	Slovenia	0	DeadCase
3/18	Slovenia	1	CurrentCase
3/18	Slovenia	0	RecoveredCase
3/18	South Africa	0	DeadCase
3/18	South Africa	0	CurrentCase
3/18	South Africa	0	RecoveredCase
3/18	Spain	0	DeadCase
3/18	Spain	0	CurrentCase
3/18	Spain	0	RecoveredCase
3/18	Sweden	0	DeadCase
3/18	Sweden	0	CurrentCase
3/18	Sweden	0	RecoveredCase
3/18	Switzerland	0	DeadCase
3/18	Switzerland	7	CurrentCase
3/18	Switzerland	0	RecoveredCase
3/18	Taiwan	0	DeadCase
3/18	Taiwan	3	CurrentCase
3/18	Taiwan	0	RecoveredCase
3/18	Thailand	0	DeadCase
3/18	Thailand	1	CurrentCase
3/18	Thailand	0	RecoveredCase
3/18	United Kingdom	0	DeadCase
3/18	United Kingdom	1	CurrentCase
3/18	United Kingdom	0	RecoveredCase
3/18	Viet Nam	1	DeadCase
3/18	Viet Nam	56	CurrentCase
3/18	Viet Nam	0	RecoveredCase
3/19	Belgium	0	DeadCase
3/19	Belgium	0	CurrentCase
3/19	Belgium	0	RecoveredCase
3/19	Viet Nam	2	DeadCase
3/19	Viet Nam	54	CurrentCase
3/19	Viet Nam	0	RecoveredCase
3/19	United States	0	DeadCase
3/19	United States	11	CurrentCase
3/19	United States	0	RecoveredCase
3/19	United Kingdom	0	DeadCase
3/19	United Kingdom	1	CurrentCase
3/19	United Kingdom	0	RecoveredCase
3/19	Thailand	0	DeadCase
3/19	Thailand	1	CurrentCase
3/19	Thailand	0	RecoveredCase
3/19	Taiwan	0	DeadCase
3/19	Taiwan	3	CurrentCase
3/19	Taiwan	0	RecoveredCase
3/19	Switzerland	0	DeadCase
3/19	Switzerland	7	CurrentCase
3/19	Switzerland	0	RecoveredCase
3/19	Sweden	0	DeadCase
3/19	Sweden	0	CurrentCase
3/19	Sweden	0	RecoveredCase
3/19	Spain	0	DeadCase
3/19	Spain	1	CurrentCase
3/19	Spain	0	RecoveredCase
3/19	South Africa	0	DeadCase
3/19	South Africa	0	CurrentCase
3/19	South Africa	0	RecoveredCase
3/19	Slovenia	0	DeadCase
3/19	Slovenia	1	CurrentCase
3/19	Slovenia	0	RecoveredCase
3/19	Singapore	0	DeadCase
3/19	Singapore	31	CurrentCase
3/19	Singapore	0	RecoveredCase
3/19	Russian Federation	0	DeadCase
3/19	Russian Federation	0	CurrentCase
3/19	Russian Federation	0	RecoveredCase
3/19	Romania	0	DeadCase
3/19	Romania	0	CurrentCase
3/19	Romania	0	RecoveredCase
3/19	Republic of Korea	0	DeadCase
3/19	Republic of Korea	0	CurrentCase
3/19	Republic of Korea	0	RecoveredCase
3/19	Republic of Ireland	0	DeadCase
3/19	Republic of Ireland	0	CurrentCase
3/19	Republic of Ireland	0	RecoveredCase
3/19	Poland	0	DeadCase
3/19	Poland	0	CurrentCase
3/19	Poland	0	RecoveredCase
3/19	Philippines	0	DeadCase
3/19	Philippines	0	CurrentCase
3/19	Philippines	0	RecoveredCase
3/19	New Zealand	0	DeadCase
3/19	New Zealand	0	CurrentCase
3/19	New Zealand	0	RecoveredCase
3/19	Mongolia	0	DeadCase
3/19	Mongolia	0	CurrentCase
3/19	Mongolia	0	RecoveredCase
3/19	Malaysia	0	DeadCase
3/19	Malaysia	0	CurrentCase
3/19	Malaysia	0	RecoveredCase
3/19	Kuwait	0	DeadCase
3/19	Kuwait	0	CurrentCase
3/19	Kuwait	0	RecoveredCase
3/19	Japan	0	DeadCase
3/19	Japan	0	CurrentCase
3/19	Japan	0	RecoveredCase
3/19	Italy	0	DeadCase
3/19	Italy	0	CurrentCase
3/19	Italy	0	RecoveredCase
3/19	Indonesia	0	DeadCase
3/19	Indonesia	0	CurrentCase
3/19	Indonesia	0	RecoveredCase
3/19	India	0	DeadCase
3/19	India	0	CurrentCase
3/19	India	0	RecoveredCase
3/19	Germany	0	DeadCase
3/19	Germany	1	CurrentCase
3/19	Germany	0	RecoveredCase
3/19	France	0	DeadCase
3/19	France	0	CurrentCase
3/19	France	0	RecoveredCase
3/19	Finland	0	DeadCase
3/19	Finland	0	CurrentCase
3/19	Finland	0	RecoveredCase
3/19	Colombia	0	DeadCase
3/19	Colombia	0	CurrentCase
3/19	Colombia	0	RecoveredCase
3/19	China	5	DeadCase
3/19	China	145	CurrentCase
3/19	China	0	RecoveredCase
3/19	Canada	2	DeadCase
3/19	Canada	6	CurrentCase
3/19	Canada	0	RecoveredCase
3/19	Bulgaria	0	DeadCase
3/19	Bulgaria	0	CurrentCase
3/19	Bulgaria	0	RecoveredCase
3/19	Brazil	0	DeadCase
3/19	Brazil	0	CurrentCase
3/19	Brazil	0	RecoveredCase
3/19	Australia	0	DeadCase
3/19	Australia	0	CurrentCase
3/19	Australia	0	RecoveredCase
3/20	Viet Nam	2	DeadCase
3/20	Viet Nam	60	CurrentCase
3/20	Viet Nam	0	RecoveredCase
3/20	Australia	0	DeadCase
3/20	Australia	0	CurrentCase
3/20	Australia	0	RecoveredCase
3/20	Belgium	0	DeadCase
3/20	Belgium	0	CurrentCase
3/20	Belgium	0	RecoveredCase
3/20	Brazil	0	DeadCase
3/20	Brazil	0	CurrentCase
3/20	Brazil	0	RecoveredCase
3/20	Bulgaria	0	DeadCase
3/20	Bulgaria	0	CurrentCase
3/20	Bulgaria	0	RecoveredCase
3/20	Canada	2	DeadCase
3/20	Canada	7	CurrentCase
3/20	Canada	0	RecoveredCase
3/20	China	6	DeadCase
3/20	China	167	CurrentCase
3/20	China	0	RecoveredCase
3/20	Colombia	0	DeadCase
3/20	Colombia	0	CurrentCase
3/20	Colombia	0	RecoveredCase
3/20	Finland	0	DeadCase
3/20	Finland	0	CurrentCase
3/20	Finland	0	RecoveredCase
3/20	France	0	DeadCase
3/20	France	0	CurrentCase
3/20	France	0	RecoveredCase
3/20	Germany	0	DeadCase
3/20	Germany	1	CurrentCase
3/20	Germany	0	RecoveredCase
3/20	India	0	DeadCase
3/20	India	0	CurrentCase
3/20	India	0	RecoveredCase
3/20	Indonesia	0	DeadCase
3/20	Indonesia	0	CurrentCase
3/20	Indonesia	0	RecoveredCase
3/20	Italy	0	DeadCase
3/20	Italy	0	CurrentCase
3/20	Italy	0	RecoveredCase
3/20	Japan	0	DeadCase
3/20	Japan	0	CurrentCase
3/20	Japan	0	RecoveredCase
3/20	Kuwait	0	DeadCase
3/20	Kuwait	0	CurrentCase
3/20	Kuwait	0	RecoveredCase
3/20	Malaysia	0	DeadCase
3/20	Malaysia	0	CurrentCase
3/20	Malaysia	0	RecoveredCase
3/20	Mongolia	0	DeadCase
3/20	Mongolia	0	CurrentCase
3/20	Mongolia	0	RecoveredCase
3/20	New Zealand	0	DeadCase
3/20	New Zealand	0	CurrentCase
3/20	New Zealand	0	RecoveredCase
3/20	Philippines	0	DeadCase
3/20	Philippines	0	CurrentCase
3/20	Philippines	0	RecoveredCase
3/20	Poland	0	DeadCase
3/20	Poland	0	CurrentCase
3/20	Poland	0	RecoveredCase
3/20	Republic of Ireland	0	DeadCase
3/20	Republic of Ireland	0	CurrentCase
3/20	Republic of Ireland	0	RecoveredCase
3/20	Republic of Korea	0	DeadCase
3/20	Republic of Korea	0	CurrentCase
3/20	Republic of Korea	0	RecoveredCase
3/20	Romania	0	DeadCase
3/20	Romania	0	CurrentCase
3/20	Romania	0	RecoveredCase
3/20	Russian Federation	0	DeadCase
3/20	Russian Federation	0	CurrentCase
3/20	Russian Federation	0	RecoveredCase
3/20	Singapore	0	DeadCase
3/20	Singapore	34	CurrentCase
3/20	Singapore	0	RecoveredCase
3/20	Slovenia	0	DeadCase
3/20	Slovenia	1	CurrentCase
3/20	Slovenia	0	RecoveredCase
3/20	South Africa	0	DeadCase
3/20	South Africa	0	CurrentCase
3/20	South Africa	0	RecoveredCase
3/20	Spain	0	DeadCase
3/20	Spain	1	CurrentCase
